deviceId,mon,label,cnt
id_MzQ6QUI6OTU6NzE6QTA6ODg,09岿 22老,caution,107
id_MzQ6QUI6OTU6NzE6QTA6ODg,09岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6QTE6MDA,07岿 22老,caution,504
id_MzQ6QUI6OTU6NzE6QTE6MDA,07岿 22老,fall,38
id_MzQ6QUI6OTU6NzE6QTE6MDA,08岿 22老,caution,20
id_MzQ6QUI6OTU6NzE6QTE6MDA,09岿 22老,caution,130
id_MzQ6QUI6OTU6NzE6QTE6MDA,09岿 22老,fall,3
id_MzQ6QUI6OTU6NzE6QTI6NkM,07岿 22老,caution,843
id_MzQ6QUI6OTU6NzE6QTI6NkM,07岿 22老,fall,5
id_MzQ6QUI6OTU6NzE6QTI6NkM,08岿 22老,caution,1652
id_MzQ6QUI6OTU6NzE6QTI6NkM,08岿 22老,fall,15
id_MzQ6QUI6OTU6NzE6QTI6NkM,09岿 22老,caution,1307
id_MzQ6QUI6OTU6NzE6QTI6NkM,09岿 22老,fall,7
id_MzQ6QUI6OTU6NzE6QTM6MkM,07岿 22老,caution,392
id_MzQ6QUI6OTU6NzE6QTM6MkM,07岿 22老,fall,13
id_MzQ6QUI6OTU6NzE6QTM6MkM,08岿 22老,caution,218
id_MzQ6QUI6OTU6NzE6QTM6MkM,08岿 22老,fall,7
id_MzQ6QUI6OTU6NzE6QTM6QzQ,07岿 22老,caution,3566
id_MzQ6QUI6OTU6NzE6QTM6QzQ,08岿 22老,caution,289
id_MzQ6QUI6OTU6NzE6QTM6QzQ,09岿 22老,caution,33
id_MzQ6QUI6OTU6NzE6QTQ6MDA,07岿 22老,caution,19
id_MzQ6QUI6OTU6NzE6QTQ6MDA,08岿 22老,caution,20
id_MzQ6QUI6OTU6NzE6QTQ6MDA,09岿 22老,caution,1
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,07岿 22老,caution,834
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,07岿 22老,fall,5
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,08岿 22老,caution,1626
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,08岿 22老,fall,9
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,09岿 22老,caution,1472
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,09岿 22老,fall,6
id_MzQ6QUI6OTU6NzE6QTQ6Nzg,07岿 22老,caution,1
id_MzQ6QUI6OTU6NzE6QTQ6ODg,07岿 22老,caution,926
id_MzQ6QUI6OTU6NzE6QTQ6ODg,07岿 22老,fall,10
id_MzQ6QUI6OTU6NzE6QTQ6ODg,08岿 22老,caution,796
id_MzQ6QUI6OTU6NzE6QTQ6ODg,08岿 22老,fall,16
id_MzQ6QUI6OTU6NzE6QTQ6ODg,09岿 22老,caution,3
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,07岿 22老,caution,46
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,08岿 22老,caution,34
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,08岿 22老,fall,1
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,09岿 22老,caution,94
id_MzQ6QUI6OTU6NzE6QTU6MTQ,07岿 22老,caution,71
id_MzQ6QUI6OTU6NzE6QTU6MTQ,07岿 22老,fall,2
id_MzQ6QUI6OTU6NzE6QTU6MTQ,08岿 22老,caution,754
id_MzQ6QUI6OTU6NzE6QTU6MTQ,08岿 22老,fall,18
id_MzQ6QUI6OTU6NzE6QTU6MTQ,09岿 22老,caution,218
id_MzQ6QUI6OTU6NzE6QTU6MTQ,09岿 22老,fall,1
