day,부재,미활동,활동,주의,낙상
09월 07일,0,7,53,9,0
09월 08일,0,3,126,15,0
09월 09일,0,19,96,25,0
09월 10일,0,2,41,5,0
09월 11일,0,0,87,7,0
09월 12일,0,7,98,28,0
09월 13일,0,6,126,12,0
09월 14일,0,33,52,7,0
09월 15일,0,0,0,1,0
09월 16일,0,30,20,6,0
09월 17일,1,31,26,3,0
09월 18일,0,27,37,2,0
09월 19일,0,17,31,7,0
09월 20일,0,22,28,10,0
09월 21일,0,19,28,10,0
09월 22일,0,17,35,2,0
09월 23일,0,32,32,3,0
09월 24일,0,11,8,3,0
09월 25일,0,10,16,3,0
09월 26일,0,33,43,3,0
09월 27일,0,16,90,4,0
09월 28일,0,15,62,3,0
09월 29일,0,11,6,0,0
09월 30일,1,18,82,3,0
