act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5539994,0,0,0,0,0,,,부재,,,
5539995,0,0,0,0,0,,,부재,,,
5539996,0,0,0,0,0,,,부재,,,
5539997,0,0,0,0,0,,,부재,,,
5539998,0,0,0,0,0,,,부재,,,
5539999,0,0,0,0,0,,,부재,,,
5540000,1,1,2.06970001,12.161,38,,,재실,,,
5540001,0,0,0,0,0,,,부재,,,
5540002,0,0,0,0,0,,,부재,,,
5540003,0,0,0,0,0,,,부재,,,
5540004,0,0,0,0,0,,,부재,,,
5540005,0,0,0,0,0,,,부재,,,
5540006,0,0,0,0,0,,,부재,,,
5540007,0,0,0,0,0,,,부재,,,
5540008,0,0,0,0,0,,,부재,,,
5540009,1,1,1.13755717,7.9629,7,,,재실,,,
5540010,1,1,1.40138841,30.6195,95,,,재실,,,
5540011,1,1,0.26451938,13.1697,98,,,재실,,,
5540012,1,1,1.42848144,29.7277,97,,,재실,,,
5540013,0,0,0,0,0,,,부재,,,
5540014,1,1,0,0,6,,,재실,,,
5540015,1,1,0.1060379,6.6789,124,,,재실,,,
5540016,1,1,0.74017501,8.2375,12,,,재실,,,
5540017,1,1,0,0,2,,,재실,,,
5540018,0,0,0,0,0,,,부재,,,
5540019,0,0,0,0,0,,,부재,,,
5540020,0,0,0,0,0,,,부재,,,
5540021,0,0,0,0,0,,,부재,,,
5540022,0,0,0,0,0,,,부재,,,
5540023,0,0,0,0,0,,,부재,,,
5540024,0,0,0,0,0,,,부재,,,
5540025,0,0,0,0,0,,,부재,,,
5540026,1,1,0.73474268,30.5686,82,,,재실,,,
5540027,1,1,0.57649612,29.7087,103,,,재실,,,
5540028,0,0,0,0,0,,,부재,,,
5540029,0,0,0,0,0,,,부재,,,
5540030,0,0,0,0,0,,,부재,,,
5540031,0,0,0,0,0,,,부재,,,
5540032,0,0,0,0,0,,,부재,,,
5540033,0,0,0,0,0,,,부재,,,
5540034,0,0,0,0,0,,,부재,,,
5540035,0,0,0,0,0,,,부재,,,
5540036,0,0,0,0,0,,,부재,,,
5540037,0,0,0,0,0,,,부재,,,
5540038,0,0,0,0,0,,,부재,,,
5540039,1,1,19.0391001,61.5144,4,,,재실,,,
5540040,0,0,0,0,0,,,부재,,,
5540041,0,0,0,0,0,,,부재,,,
5540042,0,0,0,0,0,,,부재,,,
5540043,0,0,0,0,0,,,부재,,,
5540044,0,0,0,0,0,,,부재,,,
5540045,0,0,0,0,0,,,부재,,,
5540046,0,0,0,0,0,,,부재,,,
5540047,0,0,0,0,0,,,부재,,,
5540048,0,0,0,0,0,,,부재,,,
5540049,0,0,0,0,0,,,부재,,,
5540050,0,0,0,0,0,,,부재,,,
5540051,0,0,0,0,0,,,부재,,,
5540052,1,1,0.0049,0.0049,1,,,재실,,,
5540053,0,0,0,0,0,,,부재,,,
5540054,0,0,0,0,0,,,부재,,,
5540055,0,0,0,0,0,,,부재,,,
5540056,0,0,0,0,0,,,부재,,,
5540057,0,0,0,0,0,,,부재,,,
5540058,1,2,7.24143042,32.1136,46,,,재실,,,
5540059,0,0,0,0,0,,,부재,,,
5540060,0,0,0,0,0,,,부재,,,
5540061,0,0,0,0,0,,,부재,,,
5540062,0,0,0,0,0,,,부재,,,
5540063,0,0,0,0,0,,,부재,,,
5540064,0,0,0,0,0,,,부재,,,
5540065,0,0,0,0,0,,,부재,,,
5540066,0,0,0,0,0,,,부재,,,
5540067,0,0,0,0,0,,,부재,,,
5540068,0,0,0,0,0,,,부재,,,
5540069,0,0,0,0,0,,,부재,,,
5540070,0,0,0,0,0,,,부재,,,
5540071,0,0,0,0,0,,,부재,,,
5540072,0,0,0,0,0,,,부재,,,
5540073,0,0,0,0,0,,,부재,,,
5540074,0,0,0,0,0,,,부재,,,
5540075,0,0,0,0,0,,,부재,,,
5540076,0,0,0,0,0,,,부재,,,
5540077,0,0,0,0,0,,,부재,,,
5540078,0,0,0,0,0,,,부재,,,
5540079,0,0,0,0,0,,,부재,,,
5540080,0,0,0,0,0,,,부재,,,
5540081,0,0,0,0,0,,,부재,,,
5540082,0,0,0,0,0,,,부재,,,
5540083,0,0,0,0,0,,,부재,,,
5540084,0,0,0,0,0,,,부재,,,
5540085,0,0,0,0,0,,,부재,,,
5540086,0,0,0,0,0,,,부재,,,
5540087,0,0,0,0,0,,,부재,,,
5540088,1,2,5.56163083,24.8006,13,,,재실,,,
5540089,0,0,0,0,0,,,부재,,,
5540090,1,2,5.92987728,34.4119,22,,,재실,,,
5540091,0,0,0,0,0,,,부재,,,
5540092,0,0,0,0,0,,,부재,,,
5540093,0,0,0,0,0,,,부재,,,
5540094,0,0,0,0,0,,,부재,,,
5540095,0,0,0,0,0,,,부재,,,
5540096,0,0,0,0,0,,,부재,,,
5540097,0,0,0,0,0,,,부재,,,
5540098,0,0,0,0,0,,,부재,,,
5540099,0,0,0,0,0,,,부재,,,
5540100,0,0,0,0,0,,,부재,,,
